Date,Open,930,315,Close,Volume
2017-08-21,9864.25,9867.85,9754.9,9751.45,0
2017-08-22,9815.75,9764.9,9765.35,9775.1,0
2017-08-23,9803.05,9798.45,9854.45,9847.6,0
2017-08-24,9881.2,9868.05,9863.4,9865.7,0
2017-08-28,9907.15,9899.85,9915.8,9911.9,0
2017-08-29,9886.4,9861.45,9795.4,9793.0,0
2017-08-30,9859.5,9875.4,9882.5,9886.35,0
2017-08-31,9905.7,9872.95,9918.85,9915.8,0
2017-09-01,9937.65,9943.25,9978.75,9971.05,0
2017-09-04,9984.15,9960.0,9918.8,9904.35,0
2017-09-05,9933.25,9944.25,9955.25,9946.5,0
2017-09-06,9899.25,9905.2,9911.65,9915.15,0
2017-09-07,9945.85,9944.95,9935.5,9924.0,0
2017-09-08,9958.65,9959.75,9938.1,9924.4,0
2017-09-11,9971.75,9981.7,10007.2,10005.95,0
2017-09-12,10056.85,10034.6,10092.85,10087.6,0
2017-09-13,10099.25,10109.5,10069.9,10085.7,0
2017-09-14,10107.4,10120.8,10083.8,10087.0,0
2017-09-15,10062.35,10049.65,10085.2,10085.4,0
2017-09-18,10133.1,10165.95,10151.7,10154.4,0
2017-09-19,10175.6,10147.35,10147.8,10149.35,0
2017-09-20,10160.95,10164.7,10141.4,10139.55,0
2017-09-21,10139.6,10145.8,10125.45,10123.6,0
2017-09-22,10094.35,10044.65,9965.05,9963.6,0
2017-09-25,9960.1,9888.9,9876.0,9875.6,0
2017-09-26,9875.25,9858.95,9873.45,9855.25,0
2017-09-27,9920.6,9860.95,9726.4,9738.3,0
2017-09-28,9736.4,9713.05,9764.05,9760.2,0
2017-09-29,9814.3,9822.75,9784.15,9782.95,0
2017-10-03,9893.3,9852.6,9861.4,9854.75,0
2017-10-04,9884.35,9882.55,9911.0,9924.5,0
2017-10-05,9927.0,9926.95,9883.7,9887.1,0
2017-10-06,9908.15,9934.15,9982.95,9987.2,0
2017-10-09,9988.2,9996.8,9990.9,9987.95,0
2017-10-10,10013.7,10010.8,10018.1,10013.8,0
2017-10-11,10042.6,10057.05,9983.2,9970.1,0
2017-10-12,10011.2,10010.75,10097.8,10098.0,0
2017-10-13,10123.7,10145.35,10169.45,10161.75,0
2017-10-16,10207.4,10240.2,10226.55,10233.05,0
2017-10-17,10227.65,10222.9,10235.25,10238.35,0
2017-10-18,10209.4,10205.7,10203.65,10214.8,0
2017-10-19,10210.35,10192.5,10139.15,10125.95,0
2017-10-23,10176.65,10192.1,10189.95,10191.3,0
2017-10-24,10218.55,10206.55,10210.65,10207.7,0
2017-10-25,10321.15,10264.95,10300.7,10293.75,0
2017-10-26,10291.8,10275.2,10345.75,10336.3,0
2017-10-27,10362.3,10342.9,10320.15,10319.2,0
2017-10-30,10353.85,10370.5,10365.95,10365.25,0
2017-10-31,10364.9,10361.35,10334.0,10340.0,0
2017-11-01,10390.35,10412.5,10441.15,10441.55,0
2017-11-02,10440.5,10441.5,10422.5,10425.45,0
2017-11-03,10461.55,10411.2,10449.45,10453.65,0
2017-11-06,10431.75,10433.85,10455.3,10435.8,0
2017-11-07,10477.15,10477.65,10348.2,10351.4,0
2017-11-08,10361.95,10373.4,10306.8,10313.8,0
2017-11-09,10358.65,10356.85,10304.5,10324.6,0
2017-11-10,10304.35,10289.4,10338.25,10334.4,0
2017-11-13,10322.0,10304.75,10228.1,10222.6,0
2017-11-14,10223.4,10227.55,10179.9,10181.65,0
2017-11-15,10171.95,10151.1,10122.4,10129.55,0
2017-11-16,10152.9,10148.0,10208.9,10231.45,0
2017-11-17,10324.55,10331.85,10287.45,10274.75,0
2017-11-20,10287.2,10282.8,10301.65,10297.05,0
2017-11-21,10329.25,10326.8,10326.95,10321.25,0
2017-11-22,10350.8,10349.2,10339.75,10346.85,0
2017-11-23,10358.45,10356.75,10348.0,10350.95,0
2017-11-24,10366.8,10378.3,10389.5,10393.3,0
2017-11-27,10361.05,10358.2,10400.45,10404.65,0
2017-11-28,10387.9,10377.4,10372.05,10363.8,0
2017-11-29,10376.65,10369.2,10366.5,10350.65,0
2017-11-30,10332.7,10304.7,10222.05,10229.45,0
2017-12-01,10263.7,10259.15,10125.05,10119.8,0
2017-12-04,10175.05,10124.3,10123.9,10137.9,0
2017-12-05,10118.25,10077.7,10114.95,10122.15,0
2017-12-06,10088.8,10101.2,10043.05,10039.65,0
2017-12-07,10063.45,10087.7,10173.8,10172.7,0
2017-12-08,10198.45,10228.25,10263.6,10267.85,0
2017-12-11,10310.5,10309.85,10320.4,10326.05,0
2017-12-12,10324.9,10298.25,10242.85,10241.75,0
2017-12-13,10236.6,10230.4,10196.8,10202.75,0
2017-12-14,10229.3,10189.1,10253.3,10258.85,0
2017-12-15,10345.65,10364.65,10337.05,10326.8,0
2017-12-18,10263.1,10309.25,10392.0,10390.8,0
2017-12-19,10414.8,10417.4,10466.5,10469.5,0
2017-12-20,10494.4,10456.9,10443.35,10443.2,0
