Date,Open,High,Low,Close
2019-06-11,53.43,54.04,52.91,53.27
2019-06-10,54.24,54.84,53.05,53.26
2019-06-07,53.1,54.32,52.62,53.99
2019-06-06,51.66,53.3,51.17,52.59
2019-06-05,52.86,53.41,50.6,51.68
2019-06-04,52.89,53.78,52.43,53.48
2019-06-03,53.42,54.63,52.11,53.25
2019-05-31,56.46,56.61,53.05,53.5
2019-05-30,59.12,59.7,56.33,56.59
2019-05-29,59.07,59.14,56.88,58.81
2019-05-28,59.23,59.57,58.62,59.14
2019-05-27,58.63,59.27,58.13,58.63
2019-05-24,58.21,59.1,57.5,58.63
2019-05-23,61.31,61.41,57.33,57.91
2019-05-22,62.95,63.0,61.03,61.42
2019-05-21,63.22,63.6,62.75,62.99
2019-05-20,62.93,63.81,62.45,63.1
2019-05-17,63.12,63.64,62.52,62.76
2019-05-16,62.12,63.48,62.08,62.87
2019-05-15,61.37,62.34,60.85,62.02
2019-05-14,60.86,62.11,60.69,61.78
2019-05-13,61.65,63.33,60.64,61.04
2019-05-10,61.64,62.49,61.42,61.66
2019-05-09,62.02,62.21,60.92,61.7
2019-05-08,61.44,62.37,61.07,62.12
2019-05-07,62.17,62.49,60.66,61.4
2019-05-06,61.43,62.95,60.04,62.25
2019-05-03,61.55,62.52,61.3,61.94
2019-05-02,63.61,63.68,60.95,61.81
2019-05-01,63.4,63.93,62.77,63.6
2019-04-30,63.58,64.75,63.3,63.91
2019-04-29,62.95,63.69,62.46,63.5
2019-04-26,65.13,65.18,62.28,63.3
2019-04-25,65.81,66.28,64.9,65.21
2019-04-24,66.17,66.43,65.66,65.89
2019-04-23,65.75,66.6,65.58,66.3
2019-04-22,64.0,65.92,64.0,65.7
2019-04-18,63.75,64.16,63.46,64.0
2019-04-17,64.32,64.61,63.66,63.76
2019-04-16,63.57,64.37,62.99,64.05
2019-04-15,63.76,63.84,63.03,63.4
2019-04-12,63.71,64.65,63.66,63.89
2019-04-11,64.48,64.49,63.31,63.58
2019-04-10,64.22,64.7,64.05,64.61
2019-04-09,64.4,64.79,63.68,63.98
2019-04-08,63.33,64.48,63.13,64.4
2019-04-05,62.18,63.34,61.82,63.08
2019-04-04,62.5,62.77,61.89,62.1
2019-04-03,62.64,62.99,62.05,62.46
2019-04-02,61.81,62.75,61.6,62.58
2019-04-01,60.24,61.8,60.13,61.59
2019-03-29,59.53,60.73,59.41,60.14
2019-03-28,59.4,59.56,58.2,59.3
2019-03-27,60.03,60.22,58.81,59.41
2019-03-26,59.12,60.38,59.04,59.94
2019-03-25,58.98,59.35,58.17,58.82
2019-03-22,59.87,60.07,58.28,59.04
2019-03-21,59.99,60.39,59.66,59.98
2019-03-20,59.02,60.12,58.39,59.83
2019-03-19,59.01,59.57,58.62,59.03
2019-03-18,58.45,59.23,58.05,59.09
2019-03-15,58.51,58.95,57.74,58.52
2019-03-14,58.35,58.74,58.0,58.61
2019-03-13,57.09,58.48,57.01,58.26
2019-03-12,56.76,57.55,56.74,56.87
2019-03-11,56.07,57.01,55.96,56.79
2019-03-08,56.43,56.51,54.52,56.07
2019-03-07,56.2,56.99,56.08,56.66
2019-03-06,56.28,56.4,55.42,56.22
2019-03-05,56.45,57.19,56.09,56.56
2019-03-04,55.83,57.0,55.81,56.59
2019-03-01,57.22,57.88,55.57,55.8
2019-02-28,57.0,57.43,56.43,57.22
2019-02-27,55.95,57.39,55.72,56.94
2019-02-26,55.46,56.08,55.02,55.5
2019-02-25,57.17,57.53,55.08,55.48
2019-02-22,56.84,57.81,56.71,57.26
2019-02-21,57.24,57.61,56.64,56.96
2019-02-20,55.94,57.55,55.48,56.92
2019-02-19,56.06,56.24,55.29,56.09
2019-02-15,54.48,55.87,54.24,55.59
2019-02-14,53.96,54.68,53.08,54.41
2019-02-13,53.35,54.6,53.27,53.9
2019-02-12,52.47,54.05,52.29,53.1
2019-02-11,52.66,52.78,51.23,52.41
2019-02-08,52.59,52.99,52.08,52.72
2019-02-07,53.94,54.21,51.8,52.64
2019-02-06,53.73,54.3,52.86,54.01
2019-02-05,54.86,55.21,53.47,53.66
2019-02-04,55.32,55.75,53.29,54.56
2019-02-01,54.01,55.66,53.37,55.26
2019-01-31,54.28,55.37,53.62,53.79
2019-01-30,53.24,54.93,53.09,54.23
2019-01-29,52.12,53.93,51.84,53.31
2019-01-28,53.56,53.64,51.33,51.99
2019-01-25,53.17,53.94,52.91,53.69
2019-01-24,52.45,53.47,52.07,53.13
2019-01-23,52.95,53.64,51.86,52.62
2019-01-22,53.88,54.02,51.8,52.57
2019-01-18,52.23,53.92,52.09,53.8
2019-01-17,52.3,52.58,50.98,52.07
2019-01-16,52.0,52.52,51.26,52.31
2019-01-15,50.78,52.3,50.64,52.11
2019-01-14,51.73,52.11,50.38,50.51
2019-01-11,52.28,53.31,51.18,51.59
2019-01-10,52.18,52.78,51.37,52.59
2019-01-09,49.8,52.58,49.71,52.36
2019-01-08,48.73,49.95,48.31,49.78
2019-01-07,48.3,49.79,48.11,48.52
2019-01-04,46.9,49.22,46.65,47.96
2019-01-03,46.26,47.49,45.35,47.09
2019-01-02,45.8,47.78,44.35,46.54
